101,Vraždy - loupežné,Murders based on robbery,0
102,Vraždy - sexuální,Sexual murders,0
103,Vraždy - motivované osobními vztahy,Murders motivated by personal relations,0
104,Vraždy - na objednávku,Contracted murders,0
105,Vraždy - novorozence matkou,Infanticides,0
106,Vraždy - ostatní,The other murders,0
101-106,Vraždy,Murders,1
111,"Usmrcení lidského plodu - pomoc a svádění ženy","Intentional killing of viable fetus – aiding or abetting",0
112,Usmrcení lidského plodu - se souhlasem ženy,Intentional killing of viable fetus – with the consent of the woman,0
113,Usmrcení lidského plodu - bez souhlasu ženy,Intentional killing of viable fetus – without the consent of the woman,0
115,Zabití,Killing,0
116,Usmrcení z nedbalosti,Negligent homicide,0
121,Opuštění dítěte,Abandonment of child,0
122,únos,Kidnapping,0
131,Loupež,Robbery,0
132,Loupeže na finančních institucích,Bank robbery,0
141,"Násilí proti úřední osobě a orgánu veřejné moci - mimo příslušníka policie a obecní policie","Violence against public official - a member of the Police and the Municipal Police",1
142,"Násilí proti úřední osobě a orgánu veřejné moci - na příslušníkovi Policie ČR","Violence against public official - a member of the Police of the Czech Republic",0
143,"Násilí proti úřední osobě a orgánu veřejné moci - na příslušníkovi obecní policie","Violence against public official - a member of the Municipal Police",0
151,"úmyslné ublížení na zdraví","Actual bodily harm",0
161,Rvačky,Brawls,0
171,Násilí a vyhrožování proti skupině obyvatel a jednotlivci,Threatening and violence against a group of person and against an individual,0
172,Braní rukojmí,Taking hostages,0
173,Nebezpečné vyhrožování,Dangerous threatening,0
174,Nebezpečné pronásledování,Serious harassment,0
181,Vydírání (§ 175),Blackmail (§ 175),0
182,"Omezování a zbavení osobní svobody (§§ 169, 170, 171)","Restriction and deprivation of personal freedom (§§ 169, 170, 171)",0
183,Porušování domovní svobody (§ 178),Illegal entry into dwelling (§ 178),0
184,"Neoprávněný zásah do práva k domu, bytu nebo nebytovému prostoru (§ 208)","Unlawful interference with a title to a house, flat or nonresidental premises  (§ 208)",0
185,Týrání svěřené osoby (§ 198),Battering a person entrusted to one´s care (§ 198),0
186,Týrání osoby žijící ve společném obydlí (§ 199),Battering a person entrusted to one´s care and a person living together (§ 199),0
187,Omezování svobody vyznání (§ 176),Restricting the freedom of religion (§ 176),0
188,útisk (§ 177),Oppression (§ 177),0
189,Porušování svobody sdružování a shromažďování (§ 179),Infringing the freedom of peaceful assembly and association (§ 179),0
